,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
0,2013-01-18,The Wee Man, Drama Crime History,5.663,10.262,The true life story of the rise to power of Glasgow gangster Paul Ferris.,en,John Hannah,25.532,Martin Compston,22.415,Patrick Bergin,16.171
1,2013-02-04,Gangs of Tooting Broadway, Crime Drama,6.0,1.4,"Tooting Broadway is an urban crime drama set in 2009, whose South London location lends a gritty feel to a fast paced story that highlights a rarely seen gang culture.",en,Elizabeth Henstridge,17.556,Oliver Cotton,7.693,San Shella,3.527
2,2013-02-08,I Give It a Year, Comedy Romance,5.527,13.156,"After a quick courtship, two lovers hastily decide to tie the knot. As their first year of marriage unfolds, temptation and incompatibility put their relationship in jeopardy.",en,Rafe Spall,24.419,Rose Byrne,100.765,Anna Faris,44.894
3,2013-03-04,Pulp, Drama Thriller,6.0,1.357,"Thunder Racers, Infinite Finity, Rat Warriors. Junk Comics' titles have been referred to as 'the worst printed material since Mein Kampf'. Tony Leary, the nice-guy owner of Junk Comics, is gearing up for one last roll of the dice. His new superhero title, The Sodomizer, launches at the British International Comic Show, and nothing will stop Tony from making it a success. Nothing except a gang of Geordie criminals who are using a comic company to launder their dirty money. Tony is drafted by the police to identify the culprits and bring them to justice. Aided by his trusty geek sidekicks, Rick and Keith, Tony must defy the odds if he is to become a real life hero.",en,Jay Sutherland,0.729,Simon Burbage,2.268,Gavin Molloy,1.4
4,2013-03-10,Everyone's Going to Die, Drama,6.1,3.259,"Melanie's life in a seaside town is going nowhere until she meets Ray, back in town with a shady job to do. A moment's escape becomes a chance to save themselves, and each other.",en,Nora Tschirner,12.414,Rob Knighton,1.705,Kellie Shirley,6.976
5,2013-04-05,All Things to All Men, Thriller Crime,4.425,7.461,A thief is caught up in a deadly game of cat-and-mouse between a maverick cop and London crime boss.,en,Toby Stephens,24.518,Rufus Sewell,29.851,Gabriel Byrne,45.234
6,2013-04-18,The Numbers Station, Action Thriller,5.527,24.977,"When the moral values of a longtime wetwork black ops agent is tested during his last operation, he receives an unfavorable psych evaluation. Now he is given a break and a seemingly uncomplicated assignment of simply protecting the security of a young female code announcer, code resources and remote station they are assigned to. After an ambush and one phone call later, it becomes a complicated fight for their survival.",en,John Cusack,45.313,Malin Åkerman,25.041,Hannah Murray,30.24
7,2013-04-20,The Machine, Documentary,4.0,0.6,"In this documentary, Andrés Di Tella and Dario Schvarsztein discussed sensitively and accurately the motivations and creative processes of three Mexican contemporary artists of great global impact: Pedro Reyes, Carlos Amorales and Minerva Cuevas.",es,,,,,,
8,2013-04-25,The Best Years, Comedy Crime Drama,0.0,3.636,"Peace is declared in Northern Ireland after thirty years of troubles. The criminal empires that have existed during the troubles can no longer operate and are being shut down. George is released from prison and returns to his old working-class neighbourhood to resume his life and steer clear of trouble which includes his best friend Emmet. Nadine has also come back to Derry after many years away, she is the estranged daughter of the resident crime boss Simon McKnight and also George first love. When Emmet finds a bag of money belonging to a ruthless loyalist hit-man Giggles, George is compelled to help him one last time to return it. This step is too far and they are forced to enlist the help of a gang from the other side of the community.",en,Connor Barr,0.6,Martin Kemp,14.463,Leon Bearman,0.652
9,2013-04-26,The Look of Love, Comedy Drama,5.577,13.282,"Paul Raymond builds a porn, entertainment and real estate empire that makes him the wealthiest man in Britain, but drugs doom his beloved daughter, Debbie.",en,Steve Coogan,36.284,Anna Friel,33.246,Imogen Poots,39.448
10,2013-04-27,Welcome to the Jungle, Comedy,5.044,18.391,A company retreat on a tropical island goes terribly awry.,en,Jean-Claude Van Damme,47.268,Adam Brody,27.009,Rob Huebel,28.841
