,index,Released,English title,TMDB_id
0,0,2000-01-11,The Extreme Adventures of Super Dave,88007
1,1,2000-01-12,Next Friday,10471
2,3,2000-01-14,Supernova,10384
3,5,2000-01-21,Down to You,10472
4,7,2000-01-28,Isn't She Great,75531
5,9,2000-02-04,Gun Shy,29076
6,10,2000-02-04,Scream 3,4234
7,12,2000-02-11,Snow Day,15489
8,13,2000-02-11,The Tigger Movie,15655
9,16,2000-02-18,Boiler Room,14181
10,18,2000-02-18,Pitch Black,2787
11,19,2000-02-18,The Whole Nine Yards,2069
12,21,2000-02-25,Reindeer Games,2155
13,22,2000-02-29,An Extremely Goofy Movie,15653
14,23,2000-03-01,3 Strikes,47816
15,24,2000-03-03,Drowning Mona,25166
16,26,2000-03-03,The Next Best Thing,1831
17,27,2000-03-03,What Planet Are You From?,10416
18,28,2000-03-05,If These Walls Could Talk 2,28031
19,29,2000-03-10,Mission to Mars,2067
20,32,2000-03-17,Erin Brockovich,462
21,33,2000-03-17,Final Destination,9532
22,34,2000-03-22,Romeo Must Die,2085
23,37,2000-03-24,Here on Earth,13539
24,38,2000-03-24,Mr. Accident,37716
25,40,2000-03-28,Leprechaun in the Hood,18011
26,43,2000-03-31,The Road to El Dorado,10501
27,44,2000-03-31,The Skulls,11478
28,2,2000-04-07,Ready to Rumble,20697
29,3,2000-04-07,Return to Me,2621
30,4,2000-04-07,Rules of Engagement,10479
31,7,2000-04-14,Keeping the Faith,4967
32,9,2000-04-14,Where the Money Is,31776
33,10,2000-04-21,Gossip,18041
34,11,2000-04-21,Love & Basketball,14736
35,16,2000-04-28,The Flintstones in Viva Rock Vegas,889
36,17,2000-04-28,Frequency,10559
37,18,2000-04-28,The Last September,68170
38,19,2000-04-28,Timecode,36234
39,22,2000-05-05,I Dreamed of Africa,21311
40,23,2000-05-05,Michael Jordan to the Max,24977
41,25,2000-05-12,Battlefield Earth,5491
42,26,2000-05-12,Center Stage,10560
43,27,2000-05-12,Hamlet,10688
44,29,2000-05-12,Screwed,19419
45,30,2000-05-19,Dinosaur,10567
46,31,2000-05-19,Road Trip,9285
47,32,2000-05-19,Small Time Crooks,10569
48,33,2000-05-20,Cheaters,15869
49,34,2000-05-24,Mission: Impossible 2,955
50,36,2000-05-26,Shanghai Noon,8584
51,38,2000-06-09,Gone in 60 Seconds,9679
52,42,2000-06-16,Boys and Girls,10571
53,43,2000-06-16,Jesus' Son,25636
54,45,2000-06-16,Titan A.E.,7450
55,47,2000-06-23,Chicken Run,7443
56,49,2000-06-28,The Patriot,2024
57,50,2000-06-28,Trixie,31610
58,51,2000-06-30,The Adventures of Rocky and Bullwinkle,17711
59,0,2000-07-07,But I'm a Cheerleader,20770
60,1,2000-07-07,The Kid,4244
61,2,2000-07-07,Scary Movie,4247
62,4,2000-07-13,Los Pintin al rescate,83870
63,8,2000-07-19,The In Crowd,36047
64,10,2000-07-21,Loser,10642
65,12,2000-07-21,What Lies Beneath,2655
66,21,2000-08-04,Hollow Man,9383
67,23,2000-08-04,Space Cowboys,5551
68,24,2000-08-04,The Tao of Steve,20438
69,25,2000-08-08,Buzz Lightyear of Star Command: The Adventure Begins,16187
70,26,2000-08-11,Autumn in New York,10641
71,27,2000-08-11,Bless the Child,10391
72,30,2000-08-11,The Replacements,10393
73,32,2000-08-18,The Original Kings of Comedy,23618
74,33,2000-08-18,Steal This Movie!,18153
75,34,2000-08-18,Sunset Strip,117262
76,36,2000-08-25,The Art of War,11398
77,37,2000-08-25,Bring It On,1588
78,39,2000-08-26,The Last of the Blonde Bombshells,40632
79,40,2000-08-29,Alvin and the Chipmunks Meet the Wolfman,48246
80,41,2000-09-01,Highlander: Endgame,12211
81,42,2000-09-01,Whipped,23531
82,43,2000-09-06,Turn It Up,9995
83,44,2000-09-08,Backstage,137236
84,46,2000-09-08,The Watcher,10685
85,47,2000-09-08,The Way of the Gun,1619
86,48,2000-09-12,Tweety's High-Flying Adventure,89473
87,52,2000-09-15,Into the Arms of Strangers: Stories of the Kindertransport,58062
88,55,2000-09-22,The Fantasticks,62127
89,56,2000-09-22,The Specials,29015
90,58,2000-09-22,Urban Legends: Final Cut,12212
91,59,2000-09-22,Woman on Top,14629
92,61,2000-09-29,Best in Show,13785
93,64,2000-09-29,Remember the Titans,10637
94,0,2000-10-03,Scooby-Doo and the Alien Invaders,20410
95,1,2000-10-06,Bamboozled,24664
96,5,2000-10-06,Get Carter,10461
97,6,2000-10-06,Meet the Parents,1597
98,7,2000-10-06,Tigerland,10687
99,9,2000-10-13,Animal Factory,9791
100,11,2000-10-13,The Contender,6521
101,13,2000-10-13,The Ladies Man,16888
102,14,2000-10-13,Lost Souls,10383
103,21,2000-10-20,Pay It Forward,10647
104,22,2000-10-27,Book of Shadows: Blair Witch 2,11531
105,23,2000-10-27,The Little Vampire,24100
106,25,2000-10-27,Lucky Numbers,10783
107,28,2000-10-31,Mercy Streets,26916
108,31,2000-11-10,Little Nicky,9678
109,33,2000-11-10,Red Planet,8870
110,35,2000-11-12,The Miracle Worker,1163
111,36,2000-11-17,The 6th Day,8452
112,38,2000-11-17,How the Grinch Stole Christmas,8871
113,39,2000-11-17,Rugrats in Paris: The Movie,16340
114,41,2000-11-18,For Love or Country: The Arturo Sandoval Story,33355
115,43,2000-11-22,Quills,10876
