,index,Released,English title,TMDB_id
0,2,2013-01-18,The Wee Man,121604
1,7,2013-02-04,Gangs of Tooting Broadway,115459
2,8,2013-02-08,I Give It a Year,150117
3,15,2013-03-04,Pulp,139026
4,16,2013-03-10,Everyone's Going to Die,173499
5,0,2013-04-05,All Things to All Men,183258
6,1,2013-04-18,The Numbers Station,77234
7,2,2013-04-20,The Machine,342586
8,3,2013-04-25,The Best Years,381417
9,4,2013-04-26,The Look of Love,158914
10,5,2013-04-27,Welcome to the Jungle,205724
11,13,2013-06-03,The Amityville Asylum,216016
12,14,2013-06-04,Having You,190950
13,18,2013-06-22,We Are the Freaks,204255
14,0,2013-07-05,A Field in England,179111
15,1,2013-07-05,Bula Quo!,204456
16,2,2013-07-05,Hammer of the Gods,192538
17,3,2013-07-10,The Callback Queen,256335
18,8,2013-07-24,Frequencies,218425
19,12,2013-08-09,Exhibition,208028
20,15,2013-08-22,The Dead 2: India,214464
21,16,2013-08-23,Dementamania,207763
22,20,2013-08-28,Closed Circuit,146223
23,27,2013-09-02,Rush,96721
24,33,2013-09-06,Jadoo,159407
25,36,2013-09-07,Jimi: All Is by My Side,192133
26,41,2013-09-08,Half of a Yellow Sun,209401
27,43,2013-09-09,One Chance,209361
28,45,2013-09-09,Third Person,192145
29,3,2013-10-04,The Patrol,239845
30,6,2013-10-13,Mindscape,227700
31,8,2013-10-18,Last Passenger,104329
32,10,2013-10-21,Green Street 3: Never Back Down,182873
33,11,2013-10-25,Lord of Tears,228915
34,12,2013-10-26,Strange Factories,362900
35,13,2013-10-28,In the Sands of Babylon,230579
36,15,2013-11-15,Another Me,252529
37,21,2013-12-20,Moshi Monsters: The Movie,230599
38,22,2013-12-20,The Harry Hill Movie,228558
39,23,2013-12-24,The House of Magic,202575
40,24,2013-12-25,Nymphomaniac,249397
41,25,2013-12-25,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared,145247
42,0,2014-04-04,In the Blood,256474
43,5,2014-04-17,Let Us Prey,276488
44,9,2014-04-26,"27, Memory Lane",1058654
45,15,2014-05-21,Snow in Paradise,266047
46,17,2014-05-23,Postman Pat: The Movie,245685
47,20,2014-05-28,Maleficent,102651
48,21,2014-05-30,Downhill,266400
49,23,2014-06-13,Tamanna,623606
50,25,2014-06-19,The Anomaly,269173
51,26,2014-06-20,Hide and Seek,277796
52,29,2014-06-24,The Guvnors,288463
53,30,2014-06-27,Mrs. Brown's Boys D'Movie,262340
54,0,2014-07-03,Desert Dancer,266102
55,1,2014-07-11,Ramanujan,280871
56,5,2014-08-01,Get on Up,239566
57,6,2014-08-06,The Inbetweeners 2,242022
58,10,2014-08-22,The Forgotten,279966
59,11,2014-08-22,The Last Showing,222887
60,12,2014-08-22,The Prince,241254
61,13,2014-08-23,The Sleeping Room,279975
62,14,2014-08-27,The November Man,254904
63,17,2014-09-04,The Dead Lands,283322
64,24,2014-09-06,The Face of an Angel,254024
65,26,2014-09-07,Miss Julie,230266
66,28,2014-09-08,The Mirror,279977
67,32,2014-09-10,One Night in Istanbul,287915
68,35,2014-09-19,Outpost 37,312526
69,36,2014-09-19,The Riot Club,270302
70,38,2014-09-26,What We Did on Our Holiday,276843
71,2,2014-10-09,Monsters: Dark Continent,145221
72,3,2014-10-09,Trash,206563
73,5,2014-10-14,Testament of Youth,284689
74,6,2014-10-15,Fury,228150
75,7,2014-10-16,Son of a Gun,294652
76,9,2014-10-17,Northern Soul,297265
77,10,2014-10-18,Robot Overlords,240483
78,12,2014-10-20,Treehouse,286372
79,13,2014-10-22,The Rendlesham UFO Incident,297680
80,14,2014-10-24,The Knife That Killed Me,297693
81,19,2014-11-14,"Nativity 3: Dude, Where's My Donkey?",295049
82,23,2014-12-05,Black Sea,246080
83,24,2014-12-05,Get Santa,250535
84,28,2014-12-13,Kingsman: The Secret Service,207703
85,30,2014-12-25,Selma,273895
86,31,2014-12-27,Altar,314065
87,32,2014-12-30,The Woman in Black: Angel of Death,288158
