,index,Released,English title,TMDB_id
0,0,2019-01-16,The Kid Who Would Be King,454294
1,1,2019-01-18,Close,460321
2,8,2019-01-26,The Wolf Hour,483353
3,9,2019-01-26,Wounds,505423
4,21,2019-02-27,Lancaster Skies,517517
5,27,2019-03-15,Fisherman's Friends,559713
6,1,2019-04-19,Once Upon a Time in London,468339
7,3,2019-04-28,Nomad: In the Footsteps of Bruce Chatwin,592710
8,6,2019-05-10,The Corrupted,512239
9,14,2019-05-24,Avengement,534490
10,2,2019-07-26,Horrible Histories: The Movie – Rotten Romans,553002
11,6,2019-08-29,Marriage Story,668735
12,8,2019-08-30,The Informer,466081
13,18,2019-09-05,Rocks,575773
14,23,2019-09-07,Greed,567598
15,3,2019-11-01,Arctic Dogs,416153
16,7,2019-11-22,Blue Story,621191
17,8,2019-11-22,The Courier,611914
18,9,2019-12-02,The Last Faust,652778
