,index,English title,Released,TMDB_id
0,3,Amalfi: Rewards of the Goddess,2009-07-18,46194
1,4,April Bride,2009-05-09,55749
2,5,Arceus Chōkoku no Jikū e,2009-07-18,39057
3,6,Asahiyama Zoo Story- Penguins in the Sky,2009-02-07,328093
4,8,Cho Kamen Rider Den-O & Decade Neo Generations: The Onigashima Warship,2009-05-01,178848
5,10,Crows Zero 2,2009-04-11,25716
6,11,Engine Sentai Go-onger vs. Gekiranger,2009-01-24,188209
7,14,Gokusen: The Movie,2009-07-11,78013
8,16,I Give My First Love to You,2009-10-24,40700
9,17,Kaiji,2009-10-10,37961
10,19,Kamen Rider × Kamen Rider W & Decade: Movie War 2010,2009-12-12,108515
11,20,Kamui Gaiden,2009-09-19,38604
12,21,Kuhio taisa,2009-10-10,338370
13,22,Mega Monster Battle: Ultra Galaxy Legend The Movie,2009-12-12,51948
14,23,Mt. Tsurugidake,2009-06-20,148066
15,24,Naruto Shippūden 3: Inheritors of the Will of Fire,2009-08-01,36728
16,25,Pride,2009-01-17,117981
17,28,Samurai Sentai Shinkenger The Movie: The Fateful War,2009-08-08,188297
18,31,Snow Prince,2009-12-12,81282
19,33,Tenshi no Koi,2009-11-07,43635
20,36,Yona Yona Penguin,2009-12-23,37425
21,37,Zen,2009-01-10,28632
22,0,Accidental Kidnapper,2010-04-03,74517
23,1,After the Flowers,2010-03-13,74412
24,2,Alien vs Ninja,2010-07-03,57011
25,4,Beck,2010-09-04,60163
26,5,Birthright,2010-10-24,260704
27,6,Black Rat,2010-06-05,69791
28,7,Bleach: Hell Verse,2010-12-04,73245
29,8,Book Girl,2010-05-01,60669
30,9,Box!,2010-05-22,447228
31,10,A Boy and His Samurai,2010-07-31,61682
32,13,Colorful,2010-08-21,64246
33,16,Detective Conan: The Lost Ship in the Sky,2010-04-17,97375
34,18,Doraemon: Nobita's Great Battle of the Mermaid King,2010-03-06,86184
35,19,Eden of the East: Paradise Lost,2010-03-13,44734
36,21,Garo: Red Requiem,2010-10-30,75930
37,23,Gothic & Lolita Psycho,2010-09-04,69326
38,24,Hanamizuki,2010-08-21,60604
39,25,Hanbun no Tsuki ga Noboru Sora,2010-04-03,558766
40,26,Haru's Journey,2010-05-22,121094
41,27,Heaven's Story,2010-10-02,139442
42,28,Helldriver,2010-09-28,76216
43,29,"Here Comes the Bride, My Mom!",2010-09-04,143945
44,36,Kimi ni Todoke,2010-09-25,59944
45,38,Ongakubito,2010-05-15,432977
46,39,Kamen Rider × Kamen Rider × Kamen Rider The Movie: Cho-Den-O Trilogy,2010-05-22,210286
47,40,Kamen Rider W Forever: A to Z/The Gaia Memories of Fate,2010-08-07,188288
48,41,Kamen Rider × Kamen Rider OOO & W Featuring Skull: Movie War Core,2010-12-18,188282
49,43,King of Thorn,2010-05-01,50388
50,44,Kyōfu,2010-07-10,70217
51,46,Light Novel no Tanoshii Kakikata,2010-12-04,390100
52,47,The Lightning Tree,2010-10-22,138248
53,48,Love & Loathing & Lulu & Ayano,2010-09-04,125493
54,50,Mobile Suit Gundam 00 the Movie: Awakening of the Trailblazer,2010-09-18,37048
55,51,Mutant Girls Squad,2010-05-22,51455
56,52,Naruto Shippūden 4: The Lost Tower,2010-07-31,50723
57,54,Ōoku,2010-10-01,63462
58,55,Otōto,2010-01-30,51778
59,56,Outrage,2010-05-17,45284
60,57,Paranormal Activity: Tokyo Night,2010-11-20,59429
61,59,Planzet,2010-05-22,46249
62,60,Railways,2010-05-29,84094
63,62,Samurai Sentai Shinkenger vs. Go-onger: GinmakuBang!!,2010-01-30,188301
64,63,Sankaku,2010-06-26,363061
65,65,Shodo Girls!!,2010-05-15,327761
66,66,Sketches of Kaitan City,2010-12-18,83944
67,67,Solanin,2010-04-03,45580
68,68,Space Battleship Yamato,2010-12-01,61984
69,69,Takumi-kun Series: Bibō no Detail,2010-01-30,276016
70,70,Tensou Sentai Goseiger: Epic on the Movie,2010-08-07,200566
71,74,Welcome to the Space Show,2010-02-18,61591
72,75,Yu-Gi-Oh! 3D: Bonds Beyond Time,2010-01-23,72013
73,76,Yuriko's Aroma,2010-05-08,67560
74,2,Tensou Sentai Goseiger vs. Shinkenger: Epic on Ginmaku,2011-01-22,200569
75,4,Into the White Night,2011-01-29,138185
76,5,Karate Girl,2011-02-05,68649
77,6,Patisserie Coin de rue,2011-02-11,80710
