,index,Released,English title,TMDB_id
0,0,2021-01-01,Seitokai Yakuindomo 2,653858
1,2,2021-01-08,Gintama: The Final,732203
2,3,2021-01-08,Angry Rice Wives,756197
3,8,2021-01-22,The Night Beyond the Tricornered Window,695244
4,9,2021-01-29,The Master Plan,722805
5,10,2021-01-29,A Family,736146
6,11,2021-01-29,We Made a Beautiful Bouquet,695932
7,12,2021-01-29,Photograph of Memories,868563
8,13,2021-02-05,The Cinderella Addiction,724904
9,15,2021-02-05,Suicide Forest Village,791570
10,17,2021-02-11,Princess Principal: Crown Handler – Chapter 1,542507
11,20,2021-02-19,Liar × Liar,722802
12,21,2021-02-19,In Those Days,794708
13,23,2021-02-20,Kikai Sentai Zenkaiger The Movie: Red Battle! All Sentai Rally!!,789948
14,24,2021-02-26,Aristocrats,718498
15,25,2021-02-26,Under the Turquoise Sky,745188
16,26,2021-03-05,The Sun Stands Still,664286
17,27,2021-03-05,Aria the Crepusculo,726550
18,28,2021-03-05,No Call No Life,800657
19,29,2021-03-08,Evangelion: 3.0+1.0 Thrice Upon a Time,283566
20,30,2021-03-12,Brave: Gunjō Senki,726657
21,31,2021-03-12,"Love, Life and Goldfish",852248
22,35,2021-03-19,"You're Not Normal, Either",768797
23,36,2021-03-26,Kiba: The Fangs of Fiction,744714
24,37,2021-03-26,The Blue Danube,818917
25,38,2021-03-26,Zero-One Others: Kamen Rider MetsubouJinrai,818914
26,0,2021-04-02,Signal the Movie,768480
27,1,2021-04-02,Zokki,839922
28,3,2021-04-02,Homunculus,741434
29,4,2021-04-09,My Blood & Bones in a Flowing Galaxy,698840
30,5,2021-04-09,The Supporting Actors: The Movie,821103
31,6,2021-04-09,A Garden of Camellias,746950
32,7,2021-04-09,Blue,826704
33,8,2021-04-10,Osaka Loan Shark,837671
34,9,2021-04-16,Detective Conan: The Scarlet Bullet,662638
35,10,2021-04-23,BanG Dream! Episode of Roselia,798581
36,11,2021-04-23,Rurouni Kenshin: The Final,602063
37,12,2021-04-29,Mashin Sentai Kiramager VS. Ryusoulger,801245
38,13,2021-04-29,Funny Bunny,828528
39,16,2021-05-21,A Morning of Farewell,731015
40,19,2021-05-21,Jigoku no Hanazono: Office Royale,826007
41,23,2021-06-04,Rurouni Kenshin: The Beginning,672322
42,24,2021-06-04,Pompo: The Cinéphile,678458
43,26,2021-06-04,Revue Starlight the Movie,645440
44,29,2021-06-04,Knights of Sidonia: Love Woven in the Stars,725986
45,30,2021-06-11,Fortune Favors Lady Nikuko,781816
46,31,2021-06-11,"Farewell, My Dear Cramer",739360
47,32,2021-06-11,Character,808667
48,33,2021-06-11,Mobile Suit Gundam: Hathaway's Flash,685274
49,40,2021-06-25,Arc,795092
50,41,2021-06-25,Itomichi,796258
