,index,Released,English title,TMDB_id
0,0,2020-01-02,Dogs in the House,658392
1,1,2020-01-09,Don't Cry for Me Sudan: Shukran Baba,652805
2,2,2020-01-09,Montmartre de Papa,653075
3,3,2020-01-15,Secret Zoo,575718
4,4,2020-01-16,Gang,636293
5,5,2020-01-22,The Man Standing Next,566397
6,6,2020-01-22,Mr. Zoo: The Missing VIP,572197
7,7,2020-01-22,Hitman: Agent Jun,604362
8,8,2020-01-23,Tiny Light,648436
9,9,2020-01-30,The Land of Seonghye,528165
10,11,2020-01-30,Death Cab,665342
11,12,2020-02-05,The Closet,571625
12,14,2020-02-12,Honest Candidate,605193
13,15,2020-02-13,Spirit: The Beginning of Fear,668096
14,16,2020-02-19,Beasts Clawing at Straws,571648
15,17,2020-02-20,Pray,546589
16,19,2020-02-27,Shiho,669179
17,20,2020-02-27,The Rainy Season,672104
18,21,2020-02-27,Untold,559862
19,22,2020-03-05,Lucky Chan-sil,636294
20,23,2020-03-12,The Nightmare,674185
21,24,2020-03-19,Dreamer,528374
22,25,2020-03-25,Move the Grave,597105
23,1,2020-04-15,Search Out,680973
24,2,2020-04-15,Ghost Ship,690251
25,3,2020-04-22,Invitation,488707
26,5,2020-04-23,The Hill of Wind,635400
27,7,2020-04-29,Hotel Lake,675308
28,8,2020-04-30,Beyond That Mountain,691572
29,9,2020-05-06,Shooting Girls,464920
30,10,2020-05-07,Jukdo Surfing Diary,701559
31,12,2020-05-14,Our Cat,708982
32,13,2020-05-14,King of Prison,706750
33,14,2020-05-14,Sixball,704137
34,15,2020-05-21,Bori,582377
35,16,2020-05-27,Jazzy Misfits,632929
36,17,2020-05-27,Free Minu,691570
37,18,2020-05-28,Run Boy Run,708580
38,19,2020-05-28,The Lapse,700922
39,20,2020-05-29,Somewhere in Between,589743
40,21,2020-06-04,Intruder,602291
41,22,2020-06-04,A French Woman,600136
42,23,2020-06-10,Innocence,602296
43,24,2020-06-10,Eyes on Me: The Movie,638483
44,25,2020-06-10,Can You Hear Me?,716637
45,26,2020-06-18,Me and Me,581529
46,27,2020-06-18,Baseball Girl,636291
47,28,2020-06-18,Hot Blooded Detective,718069
48,29,2020-06-24,#Alive,614696
49,0,2020-07-01,The Singer,628466
50,1,2020-07-02,"Si, Nario",714652
51,2,2020-07-02,A Bedsore,597111
52,3,2020-07-07,Killerswell: Our Space,722421
53,4,2020-07-09,Road Family,714653
54,5,2020-07-09,Fanfare,608318
55,6,2020-07-09,Teuri,707173
56,7,2020-07-09,Resurrection,729491
57,8,2020-07-15,Peninsula,581392
58,9,2020-07-16,Gwangju Video: The Missing,712083
59,10,2020-07-23,The Prisoner,723539
60,11,2020-07-29,Steel Rain 2: Summit,606906
61,12,2020-07-30,"On the Road, Khaosan Tango",544387
62,13,2020-07-30,Again,724881
63,14,2020-07-30,Ruby,636297
64,15,2020-08-05,Deliver Us from Evil,581526
65,16,2020-08-12,OK! MADAM,599335
66,17,2020-08-13,Welcome to the Guesthouse,608328
67,19,2020-08-20,Moving On,636360
68,20,2020-08-20,An Old Lady,638423
69,21,2020-08-20,The Therapist: Fist of Tae-baek,712257
70,22,2020-08-20,East Asia Anti-Japan Armed Front,724623
71,23,2020-08-27,Remain,597112
72,24,2020-08-27,Farewell Restaurant,729034
73,25,2020-08-27,Fukuoka,576112
74,26,2020-09-02,Oh! My Gran,602623
75,27,2020-09-02,On July 7,737018
76,29,2020-09-09,Beauty Water,706712
77,31,2020-09-10,Please Don't Save Me,705989
78,32,2020-09-17,The Woman Who Ran,662401
79,33,2020-09-17,Magical: Make the Princess Laugh,587074
80,34,2020-09-23,The Swordsman,492008
81,35,2020-09-23,Diva,601664
82,39,2020-09-29,The Golden Holiday,573801
83,40,2020-09-29,Pawn,589174
84,41,2020-09-29,Night of the Undead,601062
85,0,2020-10-07,The Wandering Chef,596079
86,1,2020-10-08,P1H: A New World Begins,750380
87,2,2020-10-14,Blackpink: Light Up the Sky,740996
88,3,2020-10-14,The Name,745173
89,4,2020-10-15,Voice of Silence,606740
90,5,2020-10-15,Stone Skipping,546775
91,6,2020-10-21,Samjin Company English Class,630211
92,7,2020-10-22,Mr. Trot: The Movie,755395
93,8,2020-10-22,Paper Flower,635399
94,9,2020-10-28,Light for the Youth,635397
95,10,2020-10-28,Take Me Home,705990
96,11,2020-11-04,Collectors,605680
97,12,2020-11-12,More Than Family,626415
98,13,2020-11-12,The Day I Died: Unclosed Case,609598
99,14,2020-11-27,The Call,575604
100,15,2020-12-10,Josée,602301
101,16,2020-12-10,Boys be!!,644255
102,0,2021-01-01,What Happened to Mr. Cha?,629277
103,1,2021-01-06,Finding Angel,455422
104,3,2021-01-14,Loop Dreams,708970
