,index,English title,Released,TMDB_id
0,0, Attack   on   the   Pin - Up   Boys ,2007-07-26,75100
1,1, The   Bank   Attack ,2007-11-14,482571
2,3, Beautiful   Sunday ,2007-03-29,55753
3,4, Before   the   Summer   Passes   Away ,2007-01-25,467278
4,5, Beyond   the   Years ,2007-04-12,155049
5,6, Big   Bang ,2007-03-14,58498
6,7, Black   House ,2007-06-21,107976
7,8, Boys   of   Tomorrow ,2007-05-17,199814
8,9, Bravo   My   Life ,2007-09-06,40100
9,10, Breath ,2007-04-26,25647
10,11, Bunt ,2007-04-26,86613
11,13, Cheaters ,2007-03-22,83352
12,14, The   Cut ,2007-07-11,163971
13,15, D - War ,2007-08-01,10253
14,16, Desert   Dream ,2007-11-08,37838
15,18, Driving   with   My   Wife ' s   Lover ,2007-04-26,138614
16,19, An   Elephant   on   the   Bike ,2007-04-19,164611
17,21, Epitaph ,2007-08-01,77449
18,22, Evil   Twin ,2007-05-23,213153
19,23, Fantastic   Parasuicides ,2007-11-08,426208
20,24, Femme   Fatale ,2007-08-22,52424
21,25, For   Eternal   Hearts ,2007-08-09,114236
22,26, Girl   by   Girl  소녀 X ,2007-01-25,59876
23,28, A   Good   Day   to   Have   an   Affair ,2007-02-08,52578
24,30, Hansel   and   Gretel ,2007-12-27,25597
25,31, Happiness ,2007-10-03,95910
26,32, The   Happy   Life ,2007-09-12,52425
27,33, Heavenly   Path ,2007-05-31,418122
28,34, Herb ,2007-01-11,208871
29,35, HERs ,2007-08-02,644864
30,36, Highway   Star ,2007-02-14,131922
31,37, Hotel   M :  Gangster ' s   Last   Draw ,2007-02-22,373512
32,38, Hwang   Jin   Yi ,2007-06-06,56247
33,41, Let ' s   Not   Cry ,2007-08-30,414619
34,42, A   Love ,2007-09-19,49093
35,43, Love   Exposure ,2007-10-18,48411
36,44, Love   Now ,2007-08-15,41186
37,45, M ,2007-10-25,41549
38,49, May ,2007-07-25,58069
39,50, Meet   Mr .  Daddy ,2007-04-19,94452
40,51, Milky   Way   Liberation   Front ,2007-11-29,108823
41,53, Miss   Gold   Digger ,2007-12-18,52464
42,54, Mission   Possible :  Kidnapping   Granny   K ,2007-09-12,82765
43,55, Mother ,2007-09-12,466746
44,56, Mr .  Lee   vs   Mr .  Lee ,2007-05-01,206170
45,57, Mug   Travel ,2007-03-22,642858
46,58, Muoi :  The   Legend   of   a   Portrait ,2007-07-25,43565
47,59, My   Father ,2007-09-06,108778
48,60, My   Love ,2007-12-18,52434
49,61, My   Son ,2007-05-01,118144
50,62, My   Tutor   Friend  2 동갑내기 과외하기 레슨  II ,2007-04-19,92488
51,64, Off   Road ,2007-08-30,50150
52,66, Our   School ,2007-03-29,369673
53,67, Our   Town ,2007-11-29,55767
54,68, Paradise   Murdered ,2007-04-12,27516
55,70, The   Perfect   Couple ,2007-01-25,135641
56,72, Project   Makeover ,2007-01-04,109507
57,73, Pruning   the   Grapevine ,2007-02-22,54262
58,74, Punch   Lady ,2007-10-25,40049
59,75, The   Railroad ,2007-05-10,108805
60,76, Rainbow   Eyes ,2007-12-27,38000
61,77, Resurrection   of   the   Butterfly ,2007-10-11,322498
62,79, Scout ,2007-11-14,315202
63,80, Secret   Sunshine ,2007-05-23,2015
64,81, Seven   Days ,2007-11-14,24822
65,82, Sex   Is   Zero ,2007-12-12,21647
66,83, Shadows   in   the   Palace ,2007-10-18,61128
67,86, The   Show   Must   Go   On ,2007-04-05,55771
68,87, Skeletons   in   the   Closet ,2007-02-28,52585
69,89, Someone   Behind   You ,2007-08-22,21795
70,90, Soo ,2007-03-22,52445
71,91, Sorrow   Even   Up   in   Heaven ,2007-05-17,1144143
72,93, Taxi   Blues ,2007-12-21,137945
73,94, Temptation   of   Eve :  Angel ,2007-07-30,58131
74,95, Temptation   of   Eve :  A   Good   Wife ,2007-08-06,58134
75,96, Temptation   of   Eve :  Her   Own   Technique ,2007-08-20,58136
76,97, Temptation   of   Eve :  Kiss ,2007-08-13,58132
77,98, Texture   of   Skin ,2007-05-10,193278
78,99, Time   Between   Dog   and   Wolf ,2007-06-21,322684
79,100, Two   Faces   of   My   Girlfriend ,2007-09-12,49289
80,101, Underground   Rendezvous ,2007-08-15,178743
81,102, Unstoppable   Marriage ,2007-05-10,29976
82,103, Venus   and   Mars ,2007-12-12,59185
83,105, Voice   of   a   Murderer ,2007-02-01,104176
84,107, Who ' s   That   Knocking   At   My   Door ,2007-10-25,39697
85,108, Wide   Awake ,2007-08-08,52061
86,111, The   Worst   Guy   Ever ,2007-08-30,131983
87,112," Yobi ,  the   Five   Tailed   Fox ",2007-01-25,58700
88,3, The   Accidental   Gangster   and   the   Mistaken   Courtesan ,2008-12-03,31184
89,4, Action   Boys ,2008-08-28,52411
90,5, Antique ,2008-11-13,30843
91,6, BA : BO ,2008-02-28,18526
92,7, Baby   and   I ,2008-08-13,54330
93,8, Beautiful ,2008-02-14,25747
94,9, Beyond   All   Magic ,2008-06-12,137513
95,10, Boy   Director ,2008-10-30,571719
96,11, Boy   Meets   Boy ,2008-11-20,165931
97,12, Butterflymole ,2008-02-22,416328
98,13, The   Chaser ,2008-02-14,13855
99,15, Chongqing ,2008-11-06,310440
100,16, Crazy   Waiting ,2008-01-01,36164
101,18, Crush   and   Blush ,2008-10-16,52415
102,19, Da   Capo ,2008-10-23,415178
103,20, Dachimawa   Lee ,2008-08-13,19886
104,21, Death   Bell ,2008-08-06,32272
