,index,Released,English title,TMDB_id
0,1,1990-01-12,Downtown,60778
1,2,1990-01-12,Internal Affairs,11060
2,3,1990-01-12,Leatherface: The Texas Chainsaw Massacre III,25018
3,4,1990-01-12,Ski Patrol,22585
4,6,1990-01-19,Everybody Wins,41816
5,7,1990-01-19,Tremors,9362
6,8,1990-02-02,Flashback,12719
7,9,1990-02-02,Heart Condition,41817
8,10,1990-02-02,A Man Called Sarge,87122
9,11,1990-02-02,Men Don't Leave,91217
10,12,1990-02-02,Stella,47329
11,13,1990-02-09,Hard to Kill,9569
12,14,1990-02-09,Loose Cannons,24558
13,15,1990-02-09,Stanley & Iris,36094
14,17,1990-02-16,Madhouse,51036
15,18,1990-02-16,Revenge,14249
16,22,1990-02-23,Where the Heart Is,48864
17,23,1990-03-02,The Hunt for Red October,1669
18,24,1990-03-09,Bad Influence,24249
19,25,1990-03-09,Coupe de Ville,39062
20,27,1990-03-09,House Party,16094
21,28,1990-03-09,Joe Versus the Volcano,2565
22,29,1990-03-09,Last of the Finest,123770
23,30,1990-03-09,Love at Large,32035
24,32,1990-03-16,Blue Steel,9491
25,33,1990-03-16,The Forbidden Dance,118430
26,34,1990-03-16,Lambada,117269
27,35,1990-03-16,Lord of the Flies,10847
28,36,1990-03-16,Nuns on the Run,11131
29,37,1990-03-23,Pretty Woman,114
30,38,1990-03-23,A Shock to the System,20876
31,39,1990-03-30,Opportunity Knocks,24073
32,40,1990-03-30,Side Out,52741
33,41,1990-03-30,Teenage Mutant Ninja Turtles,1498
34,0,1990-04-03,Catchfire,32924
35,2,1990-04-06,Cry-Baby,9768
36,3,1990-04-06,Ernest Goes to Jail,18943
37,4,1990-04-06,The First Power,41374
38,5,1990-04-06,I Love You to Death,3101
39,6,1990-04-06,Impulse,37131
40,7,1990-04-06,In the Spirit,163390
41,8,1990-04-13,Crazy People,16814
42,10,1990-04-13,Vital Signs,65403
43,11,1990-04-20,Chattahoochee,86763
44,12,1990-04-20,Lisa,95730
45,13,1990-04-20,Miami Blues,14931
46,14,1990-04-27,The Guardian,32043
47,15,1990-04-27,Q&A,31598
48,16,1990-04-27,Spaced Invaders,34086
49,19,1990-05-04,Short Time,24731
50,22,1990-05-11,The Big Bang,120085
51,24,1990-05-11,Far Out Man,25111
52,26,1990-05-11,A Show of Force,26426
53,27,1990-05-18,Bird on a Wire,1727
54,28,1990-05-18,Cadillac Man,10164
55,31,1990-05-25,Back to the Future Part III,196
56,32,1990-05-25,Fire Birds,6470
57,34,1990-06-01,Frankenhooker,27274
58,35,1990-06-01,Total Recall,861
59,36,1990-06-08,Another 48 Hrs.,11595
60,40,1990-06-15,Gremlins 2: The New Batch,928
61,41,1990-06-22,Betsy's Wedding,18913
62,42,1990-06-22,RoboCop 2,5549
63,43,1990-06-27,Days of Thunder,2119
64,44,1990-06-29,Ghost Dad,10485
65,2,1990-07-11,The Adventures of Ford Fairlane,9548
