,index,Released,English title,TMDB_id
0,1,1970-01-02,Jenny,280133
1,3,1970-01-09,...tick...tick...tick...,85255
2,4,1970-01-14,Last of the Mobile Hot Shots,117999
3,5,1970-01-14,The Dunwich Horror,65891
4,7,1970-01-21,The Only Game in Town,84481
5,11,1970-02-01,The Kremlin Letter,45817
6,12,1970-02-04,The Honeymoon Killers,10237
7,13,1970-02-04,Start the Revolution Without Me,19753
8,16,1970-02-10,End of the Road,151679
9,17,1970-02-10,The Party at Kitty and Stud's,4255
10,18,1970-02-11,King of the Grizzlies,98348
11,23,1970-03-04,Loving,92269
12,25,1970-03-06,Skullduggery,273554
13,27,1970-03-18,The Ballad of Cable Hogue,23330
14,28,1970-03-18,The Liberation of L.B. Jones,95556
15,31,1970-03-24,Bloody Mama,31581
16,32,1970-03-24,King: A Filmed Record... Montgomery to Memphis,149320
17,33,1970-03-25,The Adventurers,106326
18,34,1970-03-26,Woodstock,9459
19,2,1970-04-08,Colossus: The Forbin Project,14801
20,8,1970-04-27,"Hi, Mom!",42589
21,14,1970-05-07,Taste the Blood of Dracula,29748
22,16,1970-05-11,"Tell Me That You Love Me, Junie Moon",78355
23,18,1970-05-13,Getting Straight,42588
24,19,1970-05-13,Let It Be,20556
25,20,1970-05-13,"My Lover, My Son",4373
26,21,1970-05-15,The Delta Factor,55514
27,23,1970-05-20,The Landlord,64828
28,26,1970-05-20,Too Late the Hero,31935
29,30,1970-05-26,The Magic Garden of Stanley Sweetheart,290052
30,33,1970-05-27,Watermelon Man,42600
31,36,1970-06-04,Julius Caesar,42592
32,39,1970-06-10,The Invincible Six,248554
33,41,1970-06-12,The Cheyenne Social Club,28303
34,44,1970-06-17,The Hawaiians,85290
35,45,1970-06-17,On a Clear Day You Can See Forever,38222
36,46,1970-06-17,A Walk in the Spring Rain,151540
37,50,1970-06-24,Myra Breckinridge,40973
38,0,1970-07-01,The Boatniks,42596
39,3,1970-07-02,Goin' Down the Road,44606
40,8,1970-07-12,Hello-Goodbye,1864
41,10,1970-07-15,Joe,46691
42,11,1970-07-15,The Revolutionary,327328
43,14,1970-07-22,Something for Everyone,150043
44,16,1970-07-31,Move,183053
45,21,1970-08-03,Performance,26606
46,22,1970-08-06,Goodbye Gemini,93862
47,23,1970-08-10,Diary of a Mad Housewife,31677
48,24,1970-08-12,Lovers and Other Strangers,42593
49,25,1970-08-12,Soldier Blue,14384
50,26,1970-08-19,WUSA,49411
51,29,1970-08-26,The People Next Door,141623
52,32,1970-09-03,Fragment of Fear,75905
53,34,1970-09-12,Five Easy Pieces,26617
54,35,1970-09-16,R. P. M.,163683
55,36,1970-09-17,The Brotherhood of the Bell,37323
56,38,1970-09-22,Adam at 6 A.M.,121011
57,0,1970-10-01,The Baby Maker,146121
58,1,1970-10-01,Cover Me Babe,303139
59,2,1970-10-01,How Do I Love Thee?,342849
60,3,1970-10-01,The Traveling Executioner,90517
61,5,1970-10-04,The Vampire Lovers,31952
62,8,1970-10-11,The Great White Hope,17978
63,11,1970-10-14,C.C. and Company,50372
64,12,1970-10-18,I Never Sang for My Father,92283
65,15,1970-10-21,Little Fauss and Big Halsy,44721
66,18,1970-10-24,Trog,44000
67,22,1970-10-28,The Sidelong Glances of a Pigeon Kicker,194757
68,23,1970-10-28,The Twelve Chairs,24918
69,26,1970-11-03,The Owl and the Pussycat,42597
70,27,1970-11-05,Scrooge,13765
71,28,1970-11-07,The Phantom Tollbooth,28476
72,29,1970-11-08,Scars of Dracula,34479
73,30,1970-11-08,The Horror of Frankenstein,3145
74,32,1970-11-10,Perfect Friday,91583
75,33,1970-11-10,Where's Poppa?,42569
76,36,1970-11-18,Dirty Dingus Magee,48408
77,37,1970-11-18,I Walk the Line,72881
78,41,1970-12-05,Brewster McCloud,26525
79,47,1970-12-15,There's a Girl in My Soup,42599
80,49,1970-12-16,Puzzle of a Downfall Child,92937
81,50,1970-12-16,Love Story,9062
82,51,1970-12-17,Alex in Wonderland,32599
